Max similarity: 0.550253
Total matches: 3900

score: 0.550253 | segment id: 10 | term: "Hawaiʻi Commission on National and Community Service" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.101040 | segment id: 96 | term: "Cancer Center" | text: "Any discussion or questions?"
score: 0.101023 | segment id: 35 | term: "487n" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.100965 | segment id: 4 | term: "west oahu" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.100898 | segment id: 108 | term: "Career and Technical Education" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.100854 | segment id: 86 | term: "Career and Technical Education" | text: "Okay, further questions?"
score: 0.100793 | segment id: 4 | term: "Hawaiʻi Commission on National and Community Service" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.100774 | segment id: 55 | term: "Career and Technical Education" | text: "Yes, and it would be for, we anticipate, interim financing."
score: 0.100725 | segment id: 68 | term: "Hawaiʻi Medical Education Council" | text: "Andrew Crossland, Judy Ilar, Luella Vidinha, Chanara K. Richmond, Glenn Cogomita, Jacob Wiencek, and also Susan Wattis in opposition."
score: 0.100622 | segment id: 92 | term: "Career and Technical Education" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.100595 | segment id: 70 | term: "Underground Storage Tanks" | text: "If not, members, any questions?"
score: 0.100557 | segment id: 22 | term: "Red Hill" | text: "Thank you for the opportunity to testify."
score: 0.100536 | segment id: 42 | term: "Red Hill" | text: "How much money is needed for this measure?"
score: 0.100500 | segment id: 52 | term: "Education Commission of the States" | text: "Yes."
score: 0.100492 | segment id: 4 | term: "304a" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.100487 | segment id: 32 | term: "Hawaiʻi Institute of Marine Biology" | text: "We also note that these housing counseling agencies rely on federal funds to provide their current services, and with the current uncertainties surrounding federal funding, there is a chance that they"
score: 0.100433 | segment id: 37 | term: "Mauna Kea" | text: "We stand by testimony in support."
score: 0.100407 | segment id: 127 | term: "Athletic" | text: "Without others voting aye, recommendation's adopted."
score: 0.100206 | segment id: 51 | term: "Career and Technical Education" | text: "Okay, so that would revolve within three to five years?"
score: 0.100084 | segment id: 13 | term: "Athletic" | text: "Good afternoon, Chair Chang and members of the Senate Committee on Housing."
score: 0.099990 | segment id: 93 | term: "Career and Technical Education" | text: "Chair's recommendation will be to pass with amendments to further defect the date."
score: 0.099972 | segment id: 99 | term: "College" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.099971 | segment id: 109 | term: "Cancer Center" | text: "Further, in the committee report, we'll note the $25 million appropriation request for 50 units at an average cost of $500,000 to note the extremely high cost and therefore the necessity to revolve th"
score: 0.099943 | segment id: 107 | term: "John A. Burns School of Medicine" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.099906 | segment id: 92 | term: "Red Hill" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.099881 | segment id: 21 | term: "Mauna Kea" | text: "I am testifying in support of HB 1428, HD1, and I believe our community can benefit from financial education, one-on-one guidance counseling, and effective interventions that support them to remain ho"
score: 0.099879 | segment id: 116 | term: "Aloha Stadium" | text: "Any members voting no?"
score: 0.099879 | segment id: 126 | term: "Aloha Stadium" | text: "Any members voting no?"
score: 0.099833 | segment id: 79 | term: "487n" | text: "However, if we look at the Roth IRA, the maximum deduction is $7,000."
score: 0.099753 | segment id: 43 | term: "Post-Secondary Education Commission" | text: "That really depends on how many homes that would like to be part of the pilot."
score: 0.099642 | segment id: 37 | term: "Hawaiʻi Institute of Marine Biology" | text: "We stand by testimony in support."
score: 0.099630 | segment id: 10 | term: "Athletic" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.099629 | segment id: 38 | term: "487n" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.099565 | segment id: 52 | term: "Scholarship" | text: "Yes."
score: 0.099549 | segment id: 54 | term: "Early Learning Board" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.099456 | segment id: 0 | term: "Career and Technical Education" | text: "Good afternoon."
score: 0.099456 | segment id: 12 | term: "Career and Technical Education" | text: "Good afternoon."
score: 0.099425 | segment id: 33 | term: "Cancer Center" | text: "Okay, thank you very much."
score: 0.099416 | segment id: 98 | term: "Hawaiʻi Institute of Marine Biology" | text: "Chair votes aye."
score: 0.099416 | segment id: 100 | term: "Hawaiʻi Institute of Marine Biology" | text: "Chair votes aye."
score: 0.099416 | segment id: 112 | term: "Hawaiʻi Institute of Marine Biology" | text: "Chair votes aye."
score: 0.099416 | segment id: 114 | term: "Hawaiʻi Institute of Marine Biology" | text: "Chair votes aye."
score: 0.099416 | segment id: 122 | term: "Hawaiʻi Institute of Marine Biology" | text: "Chair votes aye."
score: 0.099416 | segment id: 124 | term: "Hawaiʻi Institute of Marine Biology" | text: "Chair votes aye."
score: 0.099343 | segment id: 3 | term: "Athletic" | text: "meeting is being streamed live on youtube in the unlikely event that we have to abruptly end this hearing due to technical difficulties committee will reconvene to discuss any outstanding business on "
score: 0.099267 | segment id: 84 | term: "Aloha Stadium" | text: "Federal tax savings would be greater than the state tax savings of the IHA, right?"
score: 0.099265 | segment id: 34 | term: "487n" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.099148 | segment id: 35 | term: "university" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.099075 | segment id: 85 | term: "Education Commission of the States" | text: "And currently there's less than 100 IHAs that has been reported in my notes and from our research."
score: 0.098992 | segment id: 61 | term: "Aloha Stadium" | text: "It increases the maximum annual deduction for contributions to and maximum account levels for individual housing accounts."
score: 0.098917 | segment id: 34 | term: "Mauna Kea" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.098885 | segment id: 41 | term: "community college" | text: "Okay, Chair has a question for HHFDC."
score: 0.098884 | segment id: 121 | term: "College" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.098872 | segment id: 39 | term: "Underground Storage Tanks" | text: "Is there anyone else wishing to testify on this measure?"
score: 0.098867 | segment id: 44 | term: "Research Corporation of the University of Hawaiʻi" | text: "Say there were 50 homes and an average loan amount of $500,000, that would be $25 million."
score: 0.098859 | segment id: 81 | term: "487n" | text: "So it should be more than $7,000 to have an impact."
score: 0.098836 | segment id: 113 | term: "Cancer Center" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.098825 | segment id: 47 | term: "Underground Storage Tanks" | text: "We'd have to work with organizations to see how they're going to structure their loan process."
score: 0.098739 | segment id: 116 | term: "College" | text: "Any members voting no?"
score: 0.098739 | segment id: 126 | term: "College" | text: "Any members voting no?"
score: 0.098696 | segment id: 121 | term: "Athletic" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.098685 | segment id: 73 | term: "Western Interstate Commission for Higher Education" | text: "Can you please identify yourself?"
score: 0.098506 | segment id: 25 | term: "university" | text: "If not, I'd like to welcome Vice Chair Hashimoglu and Senator Aquino to this meeting."
score: 0.098501 | segment id: 31 | term: "State Departments" | text: "That's the amount that we feel that they could use in one year."
score: 0.098443 | segment id: 41 | term: "Underground Storage Tanks" | text: "Okay, Chair has a question for HHFDC."
score: 0.098199 | segment id: 25 | term: "community college" | text: "If not, I'd like to welcome Vice Chair Hashimoglu and Senator Aquino to this meeting."
score: 0.098191 | segment id: 41 | term: "487n" | text: "Okay, Chair has a question for HHFDC."
score: 0.098189 | segment id: 33 | term: "Board of Regents" | text: "Okay, thank you very much."
score: 0.098169 | segment id: 93 | term: "Red Hill" | text: "Chair's recommendation will be to pass with amendments to further defect the date."
score: 0.098040 | segment id: 43 | term: "Early Learning Board" | text: "That really depends on how many homes that would like to be part of the pilot."
score: 0.097936 | segment id: 33 | term: "west oahu" | text: "Okay, thank you very much."
score: 0.097855 | segment id: 53 | term: "Career and Technical Education" | text: "Okay."
score: 0.097855 | segment id: 76 | term: "Career and Technical Education" | text: "Okay."
score: 0.097855 | segment id: 87 | term: "Career and Technical Education" | text: "Okay."
score: 0.097819 | segment id: 44 | term: "Hawaiʻi Commission on National and Community Service" | text: "Say there were 50 homes and an average loan amount of $500,000, that would be $25 million."
score: 0.097791 | segment id: 2 | term: "Athletic" | text: "This is the Committee on Housing, 1.25 PM hearing here in conference room 225."
score: 0.097712 | segment id: 62 | term: "Scholarship" | text: "Our first testifier is Department of Taxation with comments."
score: 0.097658 | segment id: 56 | term: "Aloha Stadium" | text: "Okay, so that would make it a little fairer."
score: 0.097596 | segment id: 69 | term: "Tuition" | text: "Is there anyone else wishing to testify on HB 286?"
score: 0.097579 | segment id: 55 | term: "Athletic" | text: "Yes, and it would be for, we anticipate, interim financing."
score: 0.097490 | segment id: 61 | term: "Hawaiʻi Institute of Marine Biology" | text: "It increases the maximum annual deduction for contributions to and maximum account levels for individual housing accounts."
score: 0.097449 | segment id: 104 | term: "Red Hill" | text: "Senator Fevella is excused."
score: 0.097411 | segment id: 7 | term: "Underground Storage Tanks" | text: "It requires a report to the legislature."
score: 0.097382 | segment id: 50 | term: "Hawaiʻi Institute of Marine Biology" | text: "that buyer can pay back HHFDC's funds through their mortgage."
score: 0.097152 | segment id: 97 | term: "Athletic" | text: "Okay, if not, again, for HB 1428, chair's recommendation is to pass with amendments."
score: 0.097111 | segment id: 39 | term: "College" | text: "Is there anyone else wishing to testify on this measure?"
score: 0.097091 | segment id: 20 | term: "Underground Storage Tanks" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.096996 | segment id: 9 | term: "Post-Secondary Education Commission" | text: "Thank you."
score: 0.096996 | segment id: 57 | term: "Post-Secondary Education Commission" | text: "Thank you."
score: 0.096996 | segment id: 63 | term: "Post-Secondary Education Commission" | text: "Thank you."
score: 0.096996 | segment id: 66 | term: "Post-Secondary Education Commission" | text: "Thank you."
score: 0.096996 | segment id: 72 | term: "Post-Secondary Education Commission" | text: "Thank you."
score: 0.096996 | segment id: 106 | term: "Post-Secondary Education Commission" | text: "Thank you."
score: 0.096996 | segment id: 118 | term: "Post-Secondary Education Commission" | text: "Thank you."
score: 0.096934 | segment id: 54 | term: "west oahu" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.096885 | segment id: 39 | term: "Athletic" | text: "Is there anyone else wishing to testify on this measure?"
score: 0.096646 | segment id: 90 | term: "Red Hill" | text: "We'll go straight into decision-making."
score: 0.096596 | segment id: 74 | term: "John A. Burns School of Medicine" | text: "Hi, my name is Eliza."
score: 0.096542 | segment id: 54 | term: "Underground Storage Tanks" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.096528 | segment id: 86 | term: "Scholarship" | text: "Okay, further questions?"
score: 0.096432 | segment id: 97 | term: "College" | text: "Okay, if not, again, for HB 1428, chair's recommendation is to pass with amendments."
score: 0.096369 | segment id: 58 | term: "Hawaiʻi Institute of Marine Biology" | text: "Any further questions?"
score: 0.096338 | segment id: 84 | term: "Mauna Kea" | text: "Federal tax savings would be greater than the state tax savings of the IHA, right?"
score: 0.096239 | segment id: 41 | term: "Career and Technical Education" | text: "Okay, Chair has a question for HHFDC."
score: 0.096155 | segment id: 0 | term: "Tuition" | text: "Good afternoon."
score: 0.096155 | segment id: 12 | term: "Tuition" | text: "Good afternoon."
score: 0.096154 | segment id: 115 | term: "community college" | text: "Any members voting with reservations?"
score: 0.096154 | segment id: 125 | term: "community college" | text: "Any members voting with reservations?"
score: 0.096021 | segment id: 99 | term: "Cancer Center" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.095934 | segment id: 1 | term: "Athletic" | text: "It's 1.25 PM."
score: 0.095880 | segment id: 26 | term: "Hawaiʻi Commission on National and Community Service" | text: "Are there any questions?"
score: 0.095853 | segment id: 78 | term: "community college" | text: "That would be a policy question."
score: 0.095780 | segment id: 53 | term: "Post-Secondary Education Commission" | text: "Okay."
score: 0.095780 | segment id: 76 | term: "Post-Secondary Education Commission" | text: "Okay."
score: 0.095780 | segment id: 87 | term: "Post-Secondary Education Commission" | text: "Okay."
score: 0.095536 | segment id: 17 | term: "Center on Nursing Advisory Board" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.095521 | segment id: 1 | term: "Research Corporation of the University of Hawaiʻi" | text: "It's 1.25 PM."
score: 0.095455 | segment id: 79 | term: "302a-431" | text: "However, if we look at the Roth IRA, the maximum deduction is $7,000."
score: 0.095442 | segment id: 123 | term: "Cancer Center" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.095380 | segment id: 56 | term: "Board of Regents" | text: "Okay, so that would make it a little fairer."
score: 0.095329 | segment id: 81 | term: "Hawaiʻi Teacher Standards Board" | text: "So it should be more than $7,000 to have an impact."
score: 0.095293 | segment id: 4 | term: "302a-431" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.095280 | segment id: 9 | term: "Western Interstate Commission for Higher Education" | text: "Thank you."
score: 0.095280 | segment id: 57 | term: "Western Interstate Commission for Higher Education" | text: "Thank you."
score: 0.095280 | segment id: 63 | term: "Western Interstate Commission for Higher Education" | text: "Thank you."
score: 0.095280 | segment id: 66 | term: "Western Interstate Commission for Higher Education" | text: "Thank you."
score: 0.095280 | segment id: 72 | term: "Western Interstate Commission for Higher Education" | text: "Thank you."
score: 0.095280 | segment id: 106 | term: "Western Interstate Commission for Higher Education" | text: "Thank you."
score: 0.095280 | segment id: 118 | term: "Western Interstate Commission for Higher Education" | text: "Thank you."
score: 0.095151 | segment id: 4 | term: "Underground Storage Tanks" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.095139 | segment id: 40 | term: "Athletic" | text: "Okay, if not, members, are there any questions?"
score: 0.095087 | segment id: 108 | term: "Athletic" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.094982 | segment id: 31 | term: "Hawaiʻi Commission on National and Community Service" | text: "That's the amount that we feel that they could use in one year."
score: 0.094941 | segment id: 117 | term: "Athletic" | text: "Without others voting aye, recommendation is adopted."
score: 0.094801 | segment id: 31 | term: "487n" | text: "That's the amount that we feel that they could use in one year."
score: 0.094694 | segment id: 74 | term: "Western Interstate Commission for Higher Education" | text: "Hi, my name is Eliza."
score: 0.094582 | segment id: 92 | term: "Athletic" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.094434 | segment id: 54 | term: "304a" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.094427 | segment id: 46 | term: "487n" | text: "How long would it take to have those funds repaid to HHSDC?"
score: 0.094374 | segment id: 17 | term: "Tuition" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.094348 | segment id: 27 | term: "Career and Technical Education" | text: "Okay, I just have a question for HHFDC."
score: 0.094333 | segment id: 47 | term: "304a" | text: "We'd have to work with organizations to see how they're going to structure their loan process."
score: 0.094308 | segment id: 110 | term: "Career and Technical Education" | text: "Members, any discussion?"
score: 0.094278 | segment id: 81 | term: "Career and Technical Education" | text: "So it should be more than $7,000 to have an impact."
score: 0.094259 | segment id: 17 | term: "Education Commission of the States" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.094249 | segment id: 51 | term: "Hawaiʻi Medical Education Council" | text: "Okay, so that would revolve within three to five years?"
score: 0.094135 | segment id: 78 | term: "Athletic" | text: "That would be a policy question."
score: 0.094053 | segment id: 46 | term: "Education Commission of the States" | text: "How long would it take to have those funds repaid to HHSDC?"
score: 0.094006 | segment id: 56 | term: "Scholarship" | text: "Okay, so that would make it a little fairer."
score: 0.093974 | segment id: 4 | term: "Tuition" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.093963 | segment id: 45 | term: "Candidate Advisory Council" | text: "So it depends on how large this pilot would be."
score: 0.093929 | segment id: 37 | term: "John A. Burns School of Medicine" | text: "We stand by testimony in support."
score: 0.093915 | segment id: 104 | term: "Mauna Kea" | text: "Senator Fevella is excused."
score: 0.093842 | segment id: 81 | term: "Hawaiʻi Commission on National and Community Service" | text: "So it should be more than $7,000 to have an impact."
score: 0.093753 | segment id: 81 | term: "302a-431" | text: "So it should be more than $7,000 to have an impact."
score: 0.093626 | segment id: 27 | term: "John A. Burns School of Medicine" | text: "Okay, I just have a question for HHFDC."
score: 0.093625 | segment id: 109 | term: "Athletic" | text: "Further, in the committee report, we'll note the $25 million appropriation request for 50 units at an average cost of $500,000 to note the extremely high cost and therefore the necessity to revolve th"
score: 0.093616 | segment id: 5 | term: "university" | text: "We appreciate your understanding and remind you that the committee has your written testimony."
score: 0.093588 | segment id: 5 | term: "Red Hill" | text: "We appreciate your understanding and remind you that the committee has your written testimony."
score: 0.093557 | segment id: 39 | term: "Cancer Center" | text: "Is there anyone else wishing to testify on this measure?"
score: 0.093542 | segment id: 8 | term: "Mauna Kea" | text: "Our first testifier is HHFDC in support."
score: 0.093542 | segment id: 36 | term: "Mauna Kea" | text: "Our first testifier is HHFDC in support."
score: 0.093505 | segment id: 80 | term: "302a-431" | text: "And a Roth IRA can be used for a first home buyer, for a purchase of a first home."
score: 0.093391 | segment id: 62 | term: "community college" | text: "Our first testifier is Department of Taxation with comments."
score: 0.093304 | segment id: 55 | term: "Red Hill" | text: "Yes, and it would be for, we anticipate, interim financing."
score: 0.093210 | segment id: 11 | term: "university" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.093194 | segment id: 51 | term: "Early Learning Board" | text: "Okay, so that would revolve within three to five years?"
score: 0.093111 | segment id: 129 | term: "Cancer Center" | text: "There being no further business, this hearing is adjourned."
score: 0.093076 | segment id: 65 | term: "John A. Burns School of Medicine" | text: "Not present on Zoom, Chair."
score: 0.093044 | segment id: 111 | term: "Career and Technical Education" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.092950 | segment id: 86 | term: "Hawaiʻi Medical Education Council" | text: "Okay, further questions?"
score: 0.092900 | segment id: 20 | term: "487n" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.092825 | segment id: 51 | term: "College" | text: "Okay, so that would revolve within three to five years?"
score: 0.092810 | segment id: 90 | term: "Career and Technical Education" | text: "We'll go straight into decision-making."
score: 0.092692 | segment id: 16 | term: "Tuition" | text: "Thank you for giving me the chance to speak in favor of House Bill 1428."
score: 0.092677 | segment id: 42 | term: "Center on Nursing Advisory Board" | text: "How much money is needed for this measure?"
score: 0.092593 | segment id: 51 | term: "Hawaiʻi Teacher Standards Board" | text: "Okay, so that would revolve within three to five years?"
score: 0.092571 | segment id: 23 | term: "Board of Regents" | text: "Thank you very much."
score: 0.092571 | segment id: 59 | term: "Board of Regents" | text: "Thank you very much."
score: 0.092571 | segment id: 128 | term: "Board of Regents" | text: "Thank you very much."
score: 0.092559 | segment id: 96 | term: "John A. Burns School of Medicine" | text: "Any discussion or questions?"
score: 0.092535 | segment id: 40 | term: "Tuition" | text: "Okay, if not, members, are there any questions?"
score: 0.092529 | segment id: 22 | term: "Mauna Kea" | text: "Thank you for the opportunity to testify."
score: 0.092525 | segment id: 31 | term: "Underground Storage Tanks" | text: "That's the amount that we feel that they could use in one year."
score: 0.092513 | segment id: 40 | term: "Post-Secondary Education Commission" | text: "Okay, if not, members, are there any questions?"
score: 0.092478 | segment id: 11 | term: "Western Interstate Commission for Higher Education" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.092476 | segment id: 5 | term: "487n" | text: "We appreciate your understanding and remind you that the committee has your written testimony."
score: 0.092447 | segment id: 28 | term: "Hawaiʻi Institute of Marine Biology" | text: "How much funding should be appropriated to these housing counseling agencies?"
score: 0.092431 | segment id: 1 | term: "Early Learning Board" | text: "It's 1.25 PM."
score: 0.092345 | segment id: 96 | term: "Career and Technical Education" | text: "Any discussion or questions?"
score: 0.092334 | segment id: 4 | term: "Education Commission of the States" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.092287 | segment id: 13 | term: "Underground Storage Tanks" | text: "Good afternoon, Chair Chang and members of the Senate Committee on Housing."
score: 0.092265 | segment id: 34 | term: "Athletic" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.092240 | segment id: 44 | term: "State Departments" | text: "Say there were 50 homes and an average loan amount of $500,000, that would be $25 million."
score: 0.092157 | segment id: 56 | term: "Western Interstate Commission for Higher Education" | text: "Okay, so that would make it a little fairer."
score: 0.092035 | segment id: 23 | term: "Post-Secondary Education Commission" | text: "Thank you very much."
score: 0.092035 | segment id: 59 | term: "Post-Secondary Education Commission" | text: "Thank you very much."
score: 0.092035 | segment id: 128 | term: "Post-Secondary Education Commission" | text: "Thank you very much."
score: 0.092021 | segment id: 13 | term: "487n" | text: "Good afternoon, Chair Chang and members of the Senate Committee on Housing."
score: 0.092015 | segment id: 115 | term: "Hawaiʻi Institute of Marine Biology" | text: "Any members voting with reservations?"
score: 0.092015 | segment id: 125 | term: "Hawaiʻi Institute of Marine Biology" | text: "Any members voting with reservations?"
score: 0.091942 | segment id: 81 | term: "Western Interstate Commission for Higher Education" | text: "So it should be more than $7,000 to have an impact."
score: 0.091927 | segment id: 43 | term: "Mauna Kea" | text: "That really depends on how many homes that would like to be part of the pilot."
score: 0.091908 | segment id: 27 | term: "Early Learning Board" | text: "Okay, I just have a question for HHFDC."
score: 0.091889 | segment id: 111 | term: "College" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.091865 | segment id: 83 | term: "College" | text: "Because the federal tax burden would be bigger."
score: 0.091863 | segment id: 52 | term: "Hawaiʻi Institute of Marine Biology" | text: "Yes."
score: 0.091858 | segment id: 65 | term: "Athletic" | text: "Not present on Zoom, Chair."
score: 0.091817 | segment id: 88 | term: "community college" | text: "We'd also like to welcome Senator Kanuha."
score: 0.091710 | segment id: 37 | term: "Early Learning Board" | text: "We stand by testimony in support."
score: 0.091675 | segment id: 54 | term: "John A. Burns School of Medicine" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.091637 | segment id: 69 | term: "Career and Technical Education" | text: "Is there anyone else wishing to testify on HB 286?"
score: 0.091570 | segment id: 39 | term: "Tuition" | text: "Is there anyone else wishing to testify on this measure?"
score: 0.091570 | segment id: 58 | term: "John A. Burns School of Medicine" | text: "Any further questions?"
score: 0.091552 | segment id: 83 | term: "Underground Storage Tanks" | text: "Because the federal tax burden would be bigger."
score: 0.091531 | segment id: 51 | term: "Tuition" | text: "Okay, so that would revolve within three to five years?"
score: 0.091503 | segment id: 11 | term: "west oahu" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.091463 | segment id: 23 | term: "John A. Burns School of Medicine" | text: "Thank you very much."
score: 0.091463 | segment id: 59 | term: "John A. Burns School of Medicine" | text: "Thank you very much."
score: 0.091463 | segment id: 128 | term: "John A. Burns School of Medicine" | text: "Thank you very much."
score: 0.091461 | segment id: 53 | term: "Tuition" | text: "Okay."
score: 0.091461 | segment id: 76 | term: "Tuition" | text: "Okay."
score: 0.091461 | segment id: 87 | term: "Tuition" | text: "Okay."
score: 0.091459 | segment id: 77 | term: "College" | text: "How much should the maximum annual deductions be raised to you?"
score: 0.091429 | segment id: 92 | term: "487n" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.091338 | segment id: 4 | term: "Center on Nursing Advisory Board" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.091328 | segment id: 117 | term: "John A. Burns School of Medicine" | text: "Without others voting aye, recommendation is adopted."
score: 0.091296 | segment id: 97 | term: "Red Hill" | text: "Okay, if not, again, for HB 1428, chair's recommendation is to pass with amendments."
score: 0.091268 | segment id: 74 | term: "State Departments" | text: "Hi, my name is Eliza."
score: 0.091253 | segment id: 40 | term: "Scholarship" | text: "Okay, if not, members, are there any questions?"
score: 0.091135 | segment id: 109 | term: "Career and Technical Education" | text: "Further, in the committee report, we'll note the $25 million appropriation request for 50 units at an average cost of $500,000 to note the extremely high cost and therefore the necessity to revolve th"
score: 0.091132 | segment id: 94 | term: "487n" | text: "And the committee report will note HHFDC's $1.5 million request for appropriations."
score: 0.091118 | segment id: 81 | term: "Red Hill" | text: "So it should be more than $7,000 to have an impact."
score: 0.091087 | segment id: 80 | term: "community college" | text: "And a Roth IRA can be used for a first home buyer, for a purchase of a first home."
score: 0.091065 | segment id: 115 | term: "west oahu" | text: "Any members voting with reservations?"
score: 0.091065 | segment id: 125 | term: "west oahu" | text: "Any members voting with reservations?"
score: 0.091031 | segment id: 70 | term: "university" | text: "If not, members, any questions?"
score: 0.090986 | segment id: 96 | term: "university" | text: "Any discussion or questions?"
score: 0.090961 | segment id: 45 | term: "302a-431" | text: "So it depends on how large this pilot would be."
score: 0.090947 | segment id: 129 | term: "community college" | text: "There being no further business, this hearing is adjourned."
score: 0.090845 | segment id: 84 | term: "College" | text: "Federal tax savings would be greater than the state tax savings of the IHA, right?"
score: 0.090799 | segment id: 111 | term: "Athletic" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.090796 | segment id: 86 | term: "John A. Burns School of Medicine" | text: "Okay, further questions?"
score: 0.090785 | segment id: 53 | term: "Education Commission of the States" | text: "Okay."
score: 0.090785 | segment id: 76 | term: "Education Commission of the States" | text: "Okay."
score: 0.090785 | segment id: 87 | term: "Education Commission of the States" | text: "Okay."
score: 0.090729 | segment id: 49 | term: "Red Hill" | text: "So when they're using the funds to acquire a property or to rehab the property and to build something, when they sell it to a qualified buyer,"
score: 0.090681 | segment id: 18 | term: "Cancer Center" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.090607 | segment id: 64 | term: "community college" | text: "Tax Foundation of Hawaii with comments."
score: 0.090531 | segment id: 4 | term: "Aloha Stadium" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.090476 | segment id: 37 | term: "community college" | text: "We stand by testimony in support."
score: 0.090419 | segment id: 120 | term: "John A. Burns School of Medicine" | text: "um with technical non-substantive amendments for the purposes of clarity and consistency we'll also further defect the date and note in the committee report the change to ten thousand dollars um for a"
score: 0.090413 | segment id: 94 | term: "Athletic" | text: "And the committee report will note HHFDC's $1.5 million request for appropriations."
score: 0.090322 | segment id: 107 | term: "Tuition" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.090279 | segment id: 71 | term: "Mauna Kea" | text: "Okay, the chair just has a question for DOTAX."
score: 0.090239 | segment id: 82 | term: "Education Commission of the States" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
